text,intent,card_type,account_type,loan_type,amount,account_number,date,day
What's my account balance?,check_balance,,,,,,
How much money do I have?,check_balance,,,,,,
Show me my balance,check_balance,,,,,,
Check my account balance,check_balance,,,,,,
What is my current balance?,check_balance,,,,,,
How much is in my account?,check_balance,,,,,,
Tell me my balance,check_balance,,,,,,
I want to know my balance,check_balance,,,,,,
Can you show my balance?,check_balance,,,,,,
Please check my balance,check_balance,,,,,,
What's my savings balance?,check_balance,,savings,,,,,
How much in my savings account?,check_balance,,savings,,,,,
Current account balance please,check_balance,,current,,,,,
Show my checking account balance,check_balance,,checking,,,,,
Balance enquiry,check_balance,,,,,,
Account balance check,check_balance,,,,,,
How much money is left?,check_balance,,,,,,
Available balance,check_balance,,,,,,
Remaining balance,check_balance,,,,,,
Account summary,check_balance,,,,,,
What's my account status?,check_balance,,,,,,
Check account funds,check_balance,,,,,,
Show available funds,check_balance,,,,,,
How much do I have in total?,check_balance,,,,,,
Total account balance,check_balance,,,,,,
My money balance,check_balance,,,,,,
Account balance inquiry,check_balance,,,,,,
I need my balance,check_balance,,,,,,
Can you tell me my balance?,check_balance,,,,,,
Balance statement,check_balance,,,,,,
What's my account worth?,check_balance,,,,,,
How much cash do I have?,check_balance,,,,,,
Show my bank balance,check_balance,,,,,,
Current financial position,check_balance,,,,,,
Check my funds,check_balance,,,,,,
Account balance today,check_balance,,,,,,,today
My balance right now,check_balance,,,,,,
Present balance,check_balance,,,,,,
Latest balance,check_balance,,,,,,
Updated balance,check_balance,,,,,,
Recent balance,check_balance,,,,,,
Balance as of today,check_balance,,,,,,,today
What's my balance currently?,check_balance,,,,,,
How much money currently?,check_balance,,,,,,
Current fund status,check_balance,,,,,,
Money in account,check_balance,,,,,,
Cash available,check_balance,,,,,,
Fund balance,check_balance,,,,,,
Account value,check_balance,,,,,,
Total funds,check_balance,,,,,,
Available cash,check_balance,,,,,,
Bank account balance,check_balance,,,,,,
Savings account balance,check_balance,,savings,,,,,
Current account balance,check_balance,,current,,,,,
Checking account balance,check_balance,,checking,,,,,
Joint account balance,check_balance,,joint,,,,,
Business account balance,check_balance,,business,,,,,
Personal account balance,check_balance,,personal,,,,,
Main account balance,check_balance,,main,,,,,
Primary account balance,check_balance,,primary,,,,,
Secondary account balance,check_balance,,secondary,,,,,
Salary account balance,check_balance,,salary,,,,,
Fixed deposit balance,check_balance,,fixed deposit,,,,,
Recurring deposit balance,check_balance,,recurring,,,,,
NRI account balance,check_balance,,NRI,,,,,
Student account balance,check_balance,,student,,,,,
Senior citizen account balance,check_balance,,senior,,,,,
Women's account balance,check_balance,,women,,,,,
Zero balance account check,check_balance,,zero balance,,,,,
Premium account balance,check_balance,,premium,,,,,
Basic account balance,check_balance,,basic,,,,,
Classic account balance,check_balance,,classic,,,,,
Platinum account balance,check_balance,,platinum,,,,,
Gold account balance,check_balance,,gold,,,,,
Silver account balance,check_balance,,silver,,,,,
Transfer money,transfer_money,,,,,,
Send money,transfer_money,,,,,,
Transfer funds,transfer_money,,,,,,
Send funds,transfer_money,,,,,,
Money transfer,transfer_money,,,,,,
Fund transfer,transfer_money,,,,,,
Transfer cash,transfer_money,,,,,,
Send cash,transfer_money,,,,,,
Move money,transfer_money,,,,,,
Transfer amount,transfer_money,,,,,,
Send amount,transfer_money,,,,,,
Payment transfer,transfer_money,,,,,,
Bank transfer,transfer_money,,,,,,
Online transfer,transfer_money,,,,,,
Wire transfer,transfer_money,,,,,,
Electronic transfer,transfer_money,,,,,,
Digital transfer,transfer_money,,,,,,
Quick transfer,transfer_money,,,,,,
Instant transfer,transfer_money,,,,,,
Immediate transfer,transfer_money,,,,,,
Transfer ₹5000,transfer_money,,,,₹5000,,,
Send ₹10000,transfer_money,,,,₹10000,,,
Transfer 15000 rupees,transfer_money,,,,15000,,,
Send 20000 rupees,transfer_money,,,,20000,,,
Transfer ₹25000 to account 123456789,transfer_money,,,,₹25000,123456789,,
Send ₹30000 to 987654321,transfer_money,,,,₹30000,987654321,,
Transfer 35000 to friend,transfer_money,,,,35000,,,
Send 40000 to family,transfer_money,,,,40000,,,
Transfer ₹45000 to my brother,transfer_money,,,,₹45000,,,
Send ₹50000 to my sister,transfer_money,,,,₹50000,,,
Transfer money to account 111222333,transfer_money,,,,,111222333,,
Send funds to 444555666,transfer_money,,,,,444555666,,
Transfer ₹1000 from savings,transfer_money,,savings,,₹1000,,,
Send ₹2000 from current,transfer_money,,current,,₹2000,,,
Transfer from savings to current,transfer_money,,savings,,,,,
Send from current to savings,transfer_money,,current,,,,,
Transfer between accounts,transfer_money,,,,,,
Send to another account,transfer_money,,,,,,
Internal transfer,transfer_money,,,,,,
Account to account transfer,transfer_money,,,,,,
Same bank transfer,transfer_money,,,,,,
Different bank transfer,transfer_money,,,,,,
NEFT transfer,transfer_money,,,,,,
RTGS transfer,transfer_money,,,,,,
IMPS transfer,transfer_money,,,,,,
UPI transfer,transfer_money,,,,,,
Net banking transfer,transfer_money,,,,,,
Mobile banking transfer,transfer_money,,,,,,
ATM transfer,transfer_money,,,,,,
Branch transfer,transfer_money,,,,,,
International transfer,transfer_money,,,,,,
Domestic transfer,transfer_money,,,,,,
Local transfer,transfer_money,,,,,,
Outstation transfer,transfer_money,,,,,,
Interstate transfer,transfer_money,,,,,,
Intrastate transfer,transfer_money,,,,,,
Third party transfer,transfer_money,,,,,,
Beneficiary transfer,transfer_money,,,,,,
Scheduled transfer,transfer_money,,,,,,
Recurring transfer,transfer_money,,,,,,
Standing instruction,transfer_money,,,,,,
Auto transfer,transfer_money,,,,,,
Emergency transfer,transfer_money,,,,,,
Urgent transfer,transfer_money,,,,,,
Priority transfer,transfer_money,,,,,,
Express transfer,transfer_money,,,,,,
Swift transfer,transfer_money,,,,,,
Fast transfer,transfer_money,,,,,,
Secure transfer,transfer_money,,,,,,
Safe transfer,transfer_money,,,,,,
Verified transfer,transfer_money,,,,,,
Authenticated transfer,transfer_money,,,,,,
OTP transfer,transfer_money,,,,,,
PIN transfer,transfer_money,,,,,,
Biometric transfer,transfer_money,,,,,,
Face ID transfer,transfer_money,,,,,,
Fingerprint transfer,transfer_money,,,,,,
Voice transfer,transfer_money,,,,,,
Transfer ₹100,transfer_money,,,,₹100,,,
Transfer ₹500,transfer_money,,,,₹500,,,
Transfer ₹1500,transfer_money,,,,₹1500,,,
Transfer ₹2500,transfer_money,,,,₹2500,,,
Transfer ₹3500,transfer_money,,,,₹3500,,,
Transfer ₹4500,transfer_money,,,,₹4500,,,
Transfer ₹5500,transfer_money,,,,₹5500,,,
Transfer ₹6500,transfer_money,,,,₹6500,,,
Transfer ₹7500,transfer_money,,,,₹7500,,,
Transfer ₹8500,transfer_money,,,,₹8500,,,
Transfer ₹9500,transfer_money,,,,₹9500,,,
Transfer ₹12500,transfer_money,,,,₹12500,,,
Transfer ₹17500,transfer_money,,,,₹17500,,,
Transfer ₹22500,transfer_money,,,,₹22500,,,
Transfer ₹27500,transfer_money,,,,₹27500,,,
Transfer ₹32500,transfer_money,,,,₹32500,,,
Transfer ₹37500,transfer_money,,,,₹37500,,,
Transfer ₹42500,transfer_money,,,,₹42500,,,
Transfer ₹47500,transfer_money,,,,₹47500,,,
Transfer ₹55000,transfer_money,,,,₹55000,,,
Transfer ₹60000,transfer_money,,,,₹60000,,,
Transfer ₹65000,transfer_money,,,,₹65000,,,
Transfer ₹70000,transfer_money,,,,₹70000,,,
Transfer ₹75000,transfer_money,,,,₹75000,,,
Transfer ₹80000,transfer_money,,,,₹80000,,,
Transfer ₹85000,transfer_money,,,,₹85000,,,
Transfer ₹90000,transfer_money,,,,₹90000,,,
Transfer ₹95000,transfer_money,,,,₹95000,,,
Transfer ₹100000,transfer_money,,,,₹100000,,,
Send 1 lakh,transfer_money,,,,100000,,,
Send 2 lakh,transfer_money,,,,200000,,,
Send 5 lakh,transfer_money,,,,500000,,,
Transfer one lakh,transfer_money,,,,100000,,,
Transfer two lakh,transfer_money,,,,200000,,,
Transfer five lakh,transfer_money,,,,500000,,,
I lost my card,lost_card,,,,,,
My card is lost,lost_card,,,,,,
Lost my card,lost_card,,,,,,
Card lost,lost_card,,,,,,
Missing card,lost_card,,,,,,
My card is missing,lost_card,,,,,,
Card missing,lost_card,,,,,,
Stolen card,lost_card,,,,,,
My card was stolen,lost_card,,,,,,
Card stolen,lost_card,,,,,,
Block my card,lost_card,,,,,,
Block card,lost_card,,,,,,
Card block,lost_card,,,,,,
Stop my card,lost_card,,,,,,
Disable my card,lost_card,,,,,,
Cancel my card,lost_card,,,,,,
Deactivate my card,lost_card,,,,,,
Suspend my card,lost_card,,,,,,
Freeze my card,lost_card,,,,,,
Hold my card,lost_card,,,,,,
Lost credit card,lost_card,credit card,,,,,
Lost debit card,lost_card,debit card,,,,,
Lost ATM card,lost_card,ATM card,,,,,
Credit card lost,lost_card,credit card,,,,,
Debit card lost,lost_card,debit card,,,,,
ATM card lost,lost_card,ATM card,,,,,
Missing credit card,lost_card,credit card,,,,,
Missing debit card,lost_card,debit card,,,,,
